#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
120.40000000005521,-1559575.25,162442.92200959107
120.8000000000557,-1518412.375,197630.24769250385
121.20000000005619,-1487356.375,220983.07216375472
121.60000000005668,-1464176.75,236647.28968467645
122.00000000005717,-1447219.375,248041.78734570637
122.40000000005766,-1434682.25,256369.4418917813
122.80000000005815,-1429976.0,264301.36468651955
123.20000000005864,-1429137.75,268906.35173336475
123.60000000005913,-1429640.875,273151.6051725955
124.00000000005961,-1434567.25,277988.9235990829
124.4000000000601,-1437211.5,277976.17295503826
124.80000000006059,-1441649.25,281140.7995050452
125.20000000006108,-1443943.5,282361.04259342584
125.60000000006157,-1446252.5,282756.31814586907
126.00000000006206,-1446451.25,281392.2643863337
126.40000000006255,-1446212.0,281329.13020530995
126.80000000006304,-1443582.25,281766.47595830087
127.20000000006353,-1436791.75,280519.2161304328
127.60000000006401,-1429909.5,281337.01243020257
128.0000000000645,-1421284.625,280165.3997974141
128.40000000006356,-1411601.0,279446.1682227199
128.80000000006262,-1403367.5,280276.8902589815
129.2000000000617,-1393923.375,281264.62977360305
129.60000000006076,-1381263.25,280113.3595834728
130.00000000005983,-1372902.25,279339.1685646521
130.4000000000589,-1363167.0,278831.99527208647
130.80000000005796,-1359869.0,282236.95053640334
131.20000000005703,-1354280.75,281488.0624932315
131.6000000000561,-1350322.375,282334.3683041789
132.00000000005517,-1351786.0,283386.83637958486
132.40000000005423,-1355653.75,283935.6621628748
132.8000000000533,-1362603.75,288163.1197896926
133.20000000005237,-1372486.25,289802.29704432405
133.60000000005144,-1380434.0,289848.08876319125
134.0000000000505,-1392895.5,290469.4199924942
134.40000000004957,-1403627.25,290662.0156336311
134.80000000004864,-1414596.75,290934.38711299305
135.2000000000477,-1420478.0,288879.28518691415
135.60000000004678,-1427439.375,287945.95601301
136.00000000004584,-1433184.0,288016.2468598541
136.4000000000449,-1434115.625,286315.9007367132
136.80000000004398,-1432016.5,286419.18829189404
137.20000000004305,-1427331.0,284369.4999172308
137.60000000004212,-1421986.0,283680.0319781752
138.00000000004118,-1415682.75,283899.75106178515
138.40000000004025,-1407846.75,281397.30358591594
138.80000000003932,-1400734.25,281272.01760318305
139.2000000000384,-1390933.0,279824.9980297264
139.60000000003745,-1381444.5,278966.1270609108
140.00000000003652,-1374968.0,280118.5467891879
140.4000000000356,-1366590.875,278736.15042971453
140.80000000003466,-1360862.75,279894.65547604626
141.20000000003373,-1357879.25,280677.598836048
141.6000000000328,-1355967.0,281053.1412889263
142.00000000003186,-1356181.0,282248.4143546355
142.40000000003093,-1362043.5,285438.80087726127
142.80000000003,-1369307.125,287415.6541005693
143.20000000002906,-1379320.5,288520.02176728623
143.60000000002813,-1390228.375,290133.4985961409
144.0000000000272,-1400571.875,289779.8330941745
144.40000000002627,-1413268.0,291527.17025870737
144.80000000002534,-1423475.75,291465.3453433803
145.2000000000244,-1428769.125,290089.6774377028
145.60000000002347,-1435336.625,290072.2679108394
146.00000000002254,-1437489.875,288201.00548898237
146.4000000000216,-1438810.25,286745.45768786035
146.80000000002067,-1438368.5,284588.8745700283
147.20000000001974,-1435612.25,283041.7399754938
147.6000000000188,-1430780.5,282942.4605854806
148.00000000001788,-1422992.25,281696.7563224911
148.40000000001695,-1416536.75,281624.6498462295
148.800000000016,-1404607.5,280168.175495439
149.20000000001508,-1395018.75,280525.9850147894
149.60000000001415,-1385074.375,279422.03991424176
150.00000000001322,-1374625.75,279243.82770810975
150.40000000001228,-1366537.75,279562.3445665657
150.80000000001135,-1360016.0,280317.95677814767
151.20000000001042,-1354671.125,280771.16017786984
151.6000000000095,-1352770.25,281952.199642583
152.00000000000855,-1353576.5,283736.819188673
152.40000000000762,-1357023.25,285928.51692828967
152.8000000000067,-1365741.75,287313.56110859354
153.20000000000576,-1374375.0,287909.8208659821
153.60000000000483,-1386178.75,290105.79320663714
154.0000000000039,-1400194.125,291833.8399892347
154.40000000000296,-1410019.625,292135.08199917024
154.80000000000203,-1419013.5,290403.4717808475
155.2000000000011,-1427754.5,289048.8945949816
155.60000000000016,-1432956.875,287923.5704489209
155.99999999999923,-1437194.125,286432.13552562834
156.3999999999983,-1437881.75,284888.21392971545
156.79999999999737,-1437425.5,283789.313026439
157.19999999999644,-1433131.75,283097.60211970855
157.5999999999955,-1428237.25,281401.2750216288
157.99999999999457,-1422639.375,281583.0416446898
158.39999999999364,-1414879.0,280131.7520260941
158.7999999999927,-1404862.125,279491.829082899
159.19999999999177,-1396165.75,280366.614204651
159.59999999999084,-1387995.875,278875.665981383
159.9999999999899,-1378508.25,278148.13752692606
