#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
160.39999999998898,-1558117.75,161712.9551556006
160.79999999998805,-1516619.75,198037.8074387575
161.1999999999871,-1486641.25,221556.1689612112
161.59999999998618,-1462294.25,236707.97962548485
161.99999999998525,-1446069.125,248899.98141993204
162.39999999998432,-1436187.125,257415.95668607834
162.79999999998338,-1430884.625,263205.4991116868
163.19999999998245,-1432146.0,269685.4802792468
163.59999999998152,-1436886.25,275465.87411910365
163.9999999999806,-1440906.0,278739.30979703454
164.39999999997966,-1447816.5,281574.25988967257
164.79999999997872,-1454037.75,283623.0186707373
165.1999999999778,-1459138.0,283962.6470382946
165.59999999997686,-1461000.25,283969.7631572531
165.99999999997593,-1459805.25,282335.5180929083
166.399999999975,-1457938.25,282248.1337055849
166.79999999997406,-1455720.625,282204.2125339096
167.19999999997313,-1449840.75,280660.8075900336
167.5999999999722,-1440927.75,280514.1097981198
167.99999999997127,-1431378.625,279928.4357862914
168.39999999997033,-1422002.625,279893.805023944
168.7999999999694,-1410206.625,279387.98128005734
169.19999999996847,-1397244.0,279374.5560946709
169.59999999996754,-1386129.25,278438.0406398947
169.9999999999666,-1373539.375,277700.76920139603
170.39999999996567,-1364530.625,278565.9538669741
170.79999999996474,-1356826.0,279295.0264907998
171.1999999999638,-1350160.25,280888.2014005256
171.59999999996288,-1348430.75,281703.6353563617
171.99999999996194,-1350505.375,282443.35438770766
172.399999999961,-1356314.75,285661.91973191994
172.79999999996008,-1365249.625,286964.2912573778
173.19999999995915,-1378095.25,289417.12035215425
173.59999999995821,-1393752.75,291873.3529611691
173.99999999995728,-1408327.75,293636.2320896579
174.39999999995635,-1421372.0,292481.9169331987
174.79999999995542,-1430957.75,291598.0316654345
175.19999999995449,-1440235.125,290794.8313968208
175.59999999995355,-1444918.25,288721.99737731315
175.99999999995262,-1446643.5,286902.13424064225
176.3999999999517,-1446259.0,285392.3184446468
176.79999999995076,-1445362.5,284970.2406011431
177.19999999994982,-1441201.5,285186.93263737456
177.5999999999489,-1435346.75,283363.9487042621
177.99999999994796,-1426946.5,280901.52321241813
178.39999999994703,-1417142.0,280677.0918312345
178.7999999999461,-1406612.0,280157.06824799057
179.19999999994516,-1395463.0,279031.94020739343
179.59999999994423,-1386427.625,278583.7420263274
179.9999999999433,-1374365.75,279518.39974920533
180.39999999994237,-1365339.25,279467.1908810025
180.79999999994143,-1356320.5,278410.4745346817
181.1999999999405,-1352514.0,279862.63508064847
181.59999999993957,-1350718.25,281888.70321382827
181.99999999993864,-1354503.25,283758.21595061774
182.3999999999377,-1361079.25,285629.6305622814
182.79999999993677,-1370492.25,287137.51306922594
183.19999999993584,-1383301.75,287717.3990282299
183.5999999999349,-1396646.75,290886.0511332274
183.99999999993398,-1412347.75,293450.5022079882
184.39999999993304,-1425633.75,292120.98660059745
184.7999999999321,-1436897.75,292185.8804011483
185.19999999993118,-1447059.125,290351.27546339424
185.59999999993025,-1452962.75,289757.7855591675
185.99999999992932,-1454859.25,287862.0497359271
186.39999999992838,-1455338.125,287107.04138909746
186.79999999992745,-1452074.5,284378.10567348875
187.19999999992652,-1447678.0,283772.8175628316
187.5999999999256,-1441747.875,283445.60198958975
187.99999999992465,-1431435.25,280845.2892572908
188.39999999992372,-1421499.75,281130.21670334705
188.7999999999228,-1411004.0,279419.0877573097
189.19999999992186,-1399074.625,276892.4022449835
189.59999999992093,-1390198.5,278245.3307665885
189.99999999992,-1377172.75,277660.4503552167
190.39999999991906,-1365994.0,277360.99836517347
190.79999999991813,-1358663.25,279895.9746878077
191.1999999999172,-1351668.75,280573.30607602524
191.59999999991626,-1349387.5,281166.13695666165
191.99999999991533,-1350846.5,284456.96659390454
192.3999999999144,-1355998.0,287485.80816629657
192.79999999991347,-1364077.875,289623.0196985866
193.19999999991254,-1378590.0,292021.3035704491
193.5999999999116,-1392697.75,292105.9141410124
193.99999999991067,-1408520.5,293815.3768682014
194.39999999990974,-1420293.125,293785.43240559124
194.7999999999088,-1431746.0,291819.2564738407
195.19999999990787,-1441590.875,291306.96180864325
195.59999999990694,-1446105.625,288977.6808810709
195.999999999906,-1448580.875,288332.465808815
196.39999999990508,-1450176.625,288298.1322032961
196.79999999990414,-1446554.75,284423.154630205
197.1999999999032,-1443850.25,284944.93468736403
197.59999999990228,-1437880.125,283223.1223043316
197.99999999990135,-1429712.75,282718.49375066144
198.39999999990042,-1419688.25,280934.09686912526
198.79999999989948,-1410095.0,281138.79930460145
199.19999999989855,-1398797.5,279102.1596899407
199.59999999989762,-1388730.25,279393.56282628013
199.9999999998967,-1377801.75,278326.2727463761
