#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
0.4000000000000003,-1641973.0,92716.94368166514
0.8000000000000006,-1579245.75,152720.41661269806
1.2000000000000008,-1532596.5,191591.52095546137
1.6000000000000012,-1499825.375,216534.17227470846
2.0000000000000013,-1475435.0,232801.76098726818
2.4000000000000017,-1460189.75,246074.63719142467
2.800000000000002,-1451054.25,255512.65397113352
3.2000000000000024,-1449324.625,263947.71281369426
3.6000000000000028,-1450666.75,272306.5797566631
4.000000000000003,-1454545.25,277107.2586823635
4.399999999999959,-1463630.5,280645.1207179437
4.799999999999915,-1470774.25,284041.61690636905
5.1999999999998705,-1475135.125,283410.9948697909
5.5999999999998264,-1477314.0,283274.7228748214
5.999999999999782,-1477143.75,280951.1142037608
6.399999999999738,-1475537.75,281827.3169203251
6.799999999999694,-1469915.75,280108.20061676984
7.19999999999965,-1463326.75,280519.4448918412
7.599999999999606,-1453819.75,279678.3922899044
7.999999999999562,-1441742.125,279477.1894504599
8.399999999999519,-1429265.75,279884.5943648495
8.799999999999475,-1415039.75,279188.4596246258
9.19999999999943,-1402334.25,278845.11203581514
9.599999999999387,-1388388.5,278238.2609144097
9.999999999999343,-1375017.5,277735.0124862935
10.399999999999299,-1363725.25,278630.325071307
10.799999999999255,-1352437.25,279421.31223163765
11.19999999999921,-1348072.25,281450.1351996019
11.599999999999167,-1343512.5,282362.9202352831
11.999999999999122,-1347254.875,284587.26790855697
12.399999999999078,-1354309.0,288706.0087658497
12.799999999999034,-1367535.75,292104.64108437067
13.19999999999899,-1383597.25,294440.23677829886
13.599999999998946,-1399292.625,293764.89683295705
13.999999999998902,-1416891.625,294067.3895989989
14.399999999998858,-1433565.75,295711.9697644176
14.799999999998814,-1444851.25,294763.092955539
15.19999999999877,-1454986.5,293497.2727924794
15.599999999998726,-1460822.625,289968.37814267166
15.999999999998682,-1464135.0,288933.0852489221
16.399999999998816,-1463120.25,286779.47841249855
16.79999999999895,-1458409.75,284790.60858342337
17.199999999999083,-1453357.5,283129.59920739464
17.599999999999216,-1445906.25,282463.57186311646
17.99999999999935,-1434570.625,281036.0304146147
18.399999999999483,-1423455.75,279079.73722330155
18.799999999999617,-1412044.75,280297.35338477395
19.19999999999975,-1399583.75,281824.5297035221
19.599999999999884,-1385865.5,281003.0859451856
20.000000000000018,-1375227.5,280241.83007596416
20.40000000000015,-1364534.0,280168.38737666886
20.800000000000285,-1357561.5,280252.8816456867
21.20000000000042,-1350989.5,280773.153111318
21.600000000000552,-1348529.25,282617.15500180644
22.000000000000686,-1353820.25,285121.68870167754
22.40000000000082,-1360479.0,287403.283477937
22.800000000000953,-1374065.875,291164.75526280364
23.200000000001086,-1390784.75,293416.7067810538
23.60000000000122,-1407922.5,293719.480915981
24.000000000001354,-1424174.875,294347.8086850828
24.400000000001487,-1440549.0,294193.7707402101
24.80000000000162,-1452385.75,293561.76947595074
25.200000000001754,-1460697.375,290279.675521997
25.600000000001888,-1467847.0,289074.5518292267
26.00000000000202,-1468511.375,286800.43451263447
26.400000000002155,-1470701.375,286888.88680544903
26.80000000000229,-1466345.5,285905.8509464661
27.200000000002422,-1459739.375,283835.52391168603
27.600000000002556,-1451889.75,282778.78923072235
28.00000000000269,-1441272.0,282222.82916351676
28.400000000002823,-1428999.625,280102.7063052604
28.800000000002957,-1418070.75,280794.0872201783
29.20000000000309,-1402649.625,279963.05673593713
29.600000000003224,-1387448.375,278050.8555083192
30.000000000003357,-1375555.875,278760.22412847093
30.40000000000349,-1363666.5,279134.97096729657
30.800000000003624,-1353920.625,279544.0802644876
31.200000000003758,-1347710.5,281274.21857190604
31.60000000000389,-1345326.25,283600.28561744373
32.00000000000402,-1347139.625,284678.2133177027
32.4000000000038,-1357486.375,289423.226277339
32.80000000000358,-1370052.875,291080.65195772424
33.20000000000336,-1386646.875,293763.7944214139
33.600000000003135,-1401124.0,293141.3234185983
34.00000000000291,-1419849.5,296750.16303003975
34.40000000000269,-1432982.125,295025.9570786388
34.80000000000247,-1446107.875,292973.368578783
35.20000000000225,-1456539.75,292027.6196474183
35.60000000000203,-1461680.25,288982.3244052011
36.000000000001805,-1464769.0,288035.87145787163
36.40000000000158,-1465070.0,286921.4050203
36.80000000000136,-1462722.0,284665.15078934544
37.20000000000114,-1457106.625,283099.48703763075
37.60000000000092,-1449732.375,281581.52014320396
38.000000000000696,-1440742.875,281670.4932405711
38.400000000000475,-1429574.75,281466.6193551764
38.80000000000025,-1415734.125,278929.2465122198
39.20000000000003,-1401794.125,279520.2549309187
39.59999999999981,-1388132.25,278316.2485631086
39.99999999999959,-1377755.75,279692.5318491948
