#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
80.40000000000633,-1560331.75,161669.34788239346
80.80000000000682,-1517358.75,198062.62599230284
81.20000000000731,-1486592.75,221205.66883352693
81.6000000000078,-1463276.0,236904.66551548275
82.00000000000828,-1445980.75,246757.6971086937
82.40000000000877,-1435122.75,255591.6496828763
82.80000000000926,-1426346.5,261610.03454471528
83.20000000000975,-1423558.75,266858.99790190335
83.60000000001024,-1421932.875,270829.4336526909
84.00000000001073,-1424100.875,275332.3784148585
84.40000000001122,-1426780.625,278326.81426347897
84.8000000000117,-1428581.375,279413.98491515685
85.2000000000122,-1428794.75,279862.52798568975
85.60000000001268,-1431299.0,282061.8489024092
86.00000000001317,-1432155.125,282061.09776016814
86.40000000001366,-1431906.0,281968.48288717173
86.80000000001415,-1428064.125,280168.5075302949
87.20000000001464,-1424581.375,280338.2961413959
87.60000000001513,-1420308.875,282273.16472622077
88.00000000001562,-1411819.625,281665.9093350505
88.4000000000161,-1404079.0,281843.503792568
88.8000000000166,-1394569.0,280925.56868613284
89.20000000001708,-1387516.875,280415.4692481968
89.60000000001757,-1378741.25,279338.8183558304
90.00000000001806,-1371222.75,279820.5797796893
90.40000000001855,-1363710.0,279497.07110612554
90.80000000001904,-1358827.0,279379.320412234
91.20000000001953,-1354193.25,279365.48198514094
91.60000000002002,-1352895.5,281504.8857304455
92.0000000000205,-1353353.75,284039.51872474514
92.400000000021,-1355311.125,283139.25491498417
92.80000000002148,-1363656.0,285401.0974439315
93.20000000002197,-1371957.125,286779.6956129077
93.60000000002246,-1377645.0,287142.6264966488
94.00000000002295,-1387328.375,288111.4677358666
94.40000000002344,-1398198.875,290235.90238824114
94.80000000002393,-1404956.875,287592.8595991052
95.20000000002442,-1412928.5,287290.9219314557
95.6000000000249,-1416902.5,286927.3775827757
96.0000000000254,-1421108.875,284624.2736308384
96.40000000002588,-1421207.25,284715.07551126636
96.80000000002637,-1420976.25,283913.8396355676
97.20000000002686,-1418512.0,283417.16278059315
97.60000000002735,-1414402.125,282998.7442748395
98.00000000002784,-1408845.5,282466.2839687478
98.40000000002833,-1404614.25,283316.88215782546
98.80000000002882,-1395389.875,279946.07050600357
99.2000000000293,-1388444.75,279829.21120130003
99.6000000000298,-1381469.25,279548.24948863767
100.00000000003028,-1374223.5,278867.65603577066
100.40000000003077,-1369673.75,279663.1736983301
100.80000000003126,-1363077.25,277259.43592596176
101.20000000003175,-1361377.875,280214.0274414837
101.60000000003224,-1359937.5,280922.55397998256
102.00000000003273,-1360077.125,283130.17037552176
102.40000000003322,-1362714.5,284293.73915069015
102.8000000000337,-1367216.125,284989.8422754593
103.2000000000342,-1373676.375,285707.11113683745
103.60000000003468,-1383163.5,287151.2447565384
104.00000000003517,-1393029.0,286880.3414893712
104.40000000003566,-1402495.25,288317.97359490866
104.80000000003615,-1410621.25,288418.3299037321
105.20000000003664,-1416145.5,288487.23635737447
105.60000000003713,-1419958.625,287646.2872914414
106.00000000003762,-1425005.625,286739.785392726
106.4000000000381,-1425644.75,285025.94190909335
106.8000000000386,-1425341.0,283334.0752650924
107.20000000003908,-1422200.75,282233.73731251963
107.60000000003957,-1420010.5,282444.0944793895
108.00000000004006,-1412718.75,281656.59855809965
108.40000000004055,-1405449.0,280077.7696743529
108.80000000004104,-1399140.5,280732.8564118422
109.20000000004153,-1388753.75,278084.9420736609
109.60000000004202,-1381923.5,279339.6698106102
110.0000000000425,-1374449.375,279743.31957895687
110.400000000043,-1366459.0,278910.78638332663
110.80000000004348,-1361700.5,279693.74205076613
111.20000000004397,-1359209.0,281540.7805196996
111.60000000004446,-1358393.25,282483.08837515546
112.00000000004495,-1357394.25,281534.4389377205
112.40000000004544,-1362433.0,283731.694057547
112.80000000004593,-1365965.875,284044.4297260514
113.20000000004642,-1372775.75,284511.8714076358
113.6000000000469,-1383683.875,289917.26992987277
114.0000000000474,-1389033.875,288216.0367060546
114.40000000004788,-1399941.25,290735.94722805975
114.80000000004837,-1407517.25,289413.69622223056
115.20000000004886,-1415022.25,288422.87160860514
115.60000000004935,-1418826.75,288325.769103353
116.00000000004984,-1421837.25,286546.21409273514
116.40000000005033,-1423760.5,286137.39549164276
116.80000000005082,-1423483.25,286223.099308378
117.2000000000513,-1420607.625,283543.3748584764
117.60000000005179,-1418109.0,282872.0645522176
118.00000000005228,-1412774.375,282196.9388855469
118.40000000005277,-1406384.0,281418.26992673555
118.80000000005326,-1398816.5,280039.40541883494
119.20000000005375,-1391250.125,280698.73625795566
119.60000000005424,-1382669.5,279333.3910345533
120.00000000005473,-1377128.25,279562.381431268
