#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
0.4000000000000003,-1548914.375,87631.04845933893
0.8000000000000006,-1489993.5,144488.97420982562
1.2000000000000008,-1446107.25,180799.82574191276
1.6000000000000012,-1411814.625,203528.18334741943
2.0000000000000013,-1387235.0,219874.01226760133
2.4000000000000017,-1369274.5,230142.6919802067
2.800000000000002,-1354946.625,238161.74981138064
3.2000000000000024,-1344353.25,245388.9460962676
3.6000000000000028,-1336557.5,249363.35998916993
4.000000000000003,-1333206.875,254258.96442987898
4.399999999999959,-1332456.0,257923.51950219448
4.799999999999915,-1329639.5,259428.11885451217
5.1999999999998705,-1327899.25,261355.08812935743
5.5999999999998264,-1328135.375,264276.9691105233
5.999999999999782,-1327986.0,264895.4921848709
6.399999999999738,-1326500.125,265530.06780012534
6.799999999999694,-1323993.75,264881.43492131727
7.19999999999965,-1320485.0,262969.27817023627
7.599999999999606,-1318733.75,264268.37563822535
7.999999999999562,-1314321.75,264079.3150224758
8.399999999999519,-1308932.0,264317.7386816624
8.799999999999475,-1304920.25,265536.5921798341
9.19999999999943,-1299884.5,264862.4639707066
9.599999999999387,-1295576.75,264953.6525234014
9.999999999999343,-1290542.25,264413.8306653233
10.399999999999299,-1285979.5,264245.0294421922
10.799999999999255,-1283631.75,264861.315044405
11.19999999999921,-1283025.125,266296.53399179515
11.599999999999167,-1281565.5,266483.4357379803
11.999999999999122,-1283572.5,267487.2047716577
12.399999999999078,-1282123.25,266639.8465203067
12.799999999999034,-1284974.625,266276.51874586905
13.19999999999899,-1287622.5,267187.69478859194
13.599999999998946,-1291666.75,267770.7872973959
13.999999999998902,-1296581.25,269491.72792568896
14.399999999998858,-1301021.5,269360.10846166394
14.799999999998814,-1306364.0,269832.8601754028
15.19999999999877,-1309209.75,269660.2068552526
15.599999999998726,-1313195.375,268616.53319767216
15.999999999998682,-1316187.375,270043.3548166966
16.399999999998816,-1315760.75,267089.6205542821
16.79999999999895,-1317698.0,268566.9592079143
17.199999999999083,-1315471.125,267115.32121531595
17.599999999999216,-1313286.25,265630.20030220004
17.99999999999935,-1310053.5,264303.64677965286
18.399999999999483,-1307045.0,264854.32640788506
18.799999999999617,-1303418.0,264678.7700891775
19.19999999999975,-1300738.75,265083.9277049781
19.599999999999884,-1296392.125,263851.0428285905
20.000000000000018,-1292598.875,263080.1299768846
20.40000000000015,-1290844.25,264270.7553067795
20.800000000000285,-1288016.375,264687.61669843807
21.20000000000042,-1286768.125,265568.35576107574
21.600000000000552,-1283930.375,265243.53911937505
22.000000000000686,-1283856.125,266148.82908813434
22.40000000000082,-1285881.0,268419.42762755335
22.800000000000953,-1285953.625,268968.9168218485
23.200000000001086,-1290826.5,269272.1596970599
23.60000000000122,-1293919.375,267752.8563953668
24.000000000001354,-1300142.875,269889.24741720257
24.400000000001487,-1303007.125,269978.4633340484
24.80000000000162,-1306912.875,268619.25822850945
25.200000000001754,-1311302.0,269279.8536292602
25.600000000001888,-1313708.875,268528.7895239664
26.00000000000202,-1315656.0,269292.92142402544
26.400000000002155,-1318322.0,269439.3648497017
26.80000000000229,-1318117.0,268302.368531882
27.200000000002422,-1318589.875,268159.28016077797
27.600000000002556,-1313898.125,265293.34691355086
28.00000000000269,-1312125.875,265871.4700031816
28.400000000002823,-1308165.625,264853.7630830954
28.800000000002957,-1304374.5,266540.74536758446
29.20000000000309,-1299402.75,264773.5796520363
29.600000000003224,-1296879.875,265731.9960204847
30.000000000003357,-1291421.75,262971.59302375495
30.40000000000349,-1288981.75,264696.5169866234
30.800000000003624,-1286114.75,263730.4363332374
31.200000000003758,-1284417.25,265524.23897351144
31.60000000000389,-1281729.125,263673.9879153995
32.00000000000402,-1282537.75,266448.560468418
32.4000000000038,-1283686.875,265367.26642543875
32.80000000000358,-1286231.0,266131.5202693993
33.20000000000336,-1290946.75,268185.3868219146
33.600000000003135,-1294231.125,269247.24349975935
34.00000000000291,-1297465.875,268630.52245983086
34.40000000000269,-1302914.625,269077.75027583796
34.80000000000247,-1305885.625,269022.8370338641
35.20000000000225,-1310222.0,270320.54595711076
35.60000000000203,-1311128.125,267991.8244024663
36.000000000001805,-1315274.25,268100.24870456767
36.40000000000158,-1316194.375,266713.3892334043
36.80000000000136,-1317497.875,268044.7113048659
37.20000000000114,-1316903.25,267296.7005479431
37.60000000000092,-1315662.75,265269.2998255726
38.000000000000696,-1312719.625,265645.2979540278
38.400000000000475,-1309792.5,264119.65462608694
38.80000000000025,-1306760.5,264403.74718596763
39.20000000000003,-1301731.5,263294.1133551644
39.59999999999981,-1299385.0,264038.5603505227
39.99999999999959,-1296032.5,264700.9270192067
