#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
40.399999999999366,-1469278.0,153878.90784237772
40.799999999999145,-1429536.625,187680.96523066913
41.19999999999892,-1398748.0,209579.36321360045
41.5999999999987,-1376510.0,223820.81895930355
41.99999999999848,-1360659.875,234104.88399665797
42.39999999999826,-1347092.25,242045.13492112837
42.799999999998036,-1337974.625,247714.2027046953
43.199999999997814,-1333006.375,252020.8586986853
43.59999999999759,-1330140.625,256809.07440790735
43.99999999999737,-1332002.375,260630.60034967287
44.39999999999715,-1332443.0,262408.7027101611
44.79999999999693,-1333959.5,264343.51512142865
45.199999999996706,-1334596.125,266361.7595838617
45.599999999996484,-1334326.75,266652.5851072877
45.99999999999626,-1335747.5,267458.1218138321
46.39999999999604,-1334984.0,266306.04307104775
46.79999999999582,-1334518.625,266581.5046349228
47.1999999999956,-1330085.75,263861.28686786693
47.599999999995376,-1328057.5,264422.57685686747
47.999999999995154,-1323265.0,264503.4655611438
48.39999999999493,-1318149.25,264932.15030762897
48.79999999999471,-1311137.5,264523.03400938364
49.19999999999449,-1305538.75,264727.5747951879
49.59999999999427,-1299215.5,264204.05129383394
49.999999999994046,-1292891.5,264856.98226081935
50.399999999993824,-1288145.875,264908.0260116917
50.7999999999936,-1283764.25,264254.5257261132
51.19999999999338,-1280611.0,265741.2650226264
51.59999999999316,-1278626.125,265505.6494155386
51.99999999999294,-1278016.75,266703.3555844898
52.399999999992716,-1277874.375,267760.3717134234
52.799999999992494,-1284031.0,269441.53477202915
53.19999999999227,-1288004.75,269910.9996922043
53.59999999999205,-1292763.375,269739.67883322353
53.99999999999183,-1300190.625,270971.121425872
54.39999999999161,-1306594.75,270792.82403907017
54.799999999991385,-1314297.75,271552.21993063856
55.199999999991164,-1317922.75,270386.46843953273
55.59999999999094,-1321865.0,269395.1233074645
55.99999999999072,-1325055.5,269314.5485090484
56.3999999999905,-1325431.875,268692.5603889106
56.79999999999028,-1326575.5,267497.9582394485
57.199999999990055,-1323990.875,266715.87602665887
57.599999999989834,-1322739.5,266436.2769455408
57.99999999998961,-1317448.0,265690.0967645047
58.39999999998939,-1314392.75,267417.3436677577
58.79999999998917,-1309053.25,266196.2940456347
59.19999999998895,-1302591.25,265166.54748587403
59.599999999988725,-1299019.25,266109.07507337234
59.9999999999885,-1293802.375,264893.46538986766
60.39999999998828,-1288637.5,263802.96859839465
60.79999999998806,-1286046.75,266136.2780713089
61.19999999998784,-1282432.5,264443.0024045198
61.59999999998762,-1281534.0,265200.3882244698
61.999999999987395,-1284397.0,267343.0824391597
62.39999999998717,-1286059.875,266914.92258893297
62.79999999998695,-1289409.75,267554.2953011966
63.19999999998673,-1294694.25,270297.4413101064
63.59999999998651,-1299021.875,270640.12643885484
63.99999999998629,-1306038.25,271046.9087987618
64.39999999998678,-1310712.25,269852.6659453524
64.79999999998726,-1316912.75,271153.25881970243
65.19999999998775,-1323215.25,269888.25264522666
65.59999999998824,-1327447.25,269068.6583463538
65.99999999998873,-1328287.25,268871.62602777797
66.39999999998922,-1329334.5,267650.1061260434
66.79999999998971,-1328326.75,267870.97724084277
67.1999999999902,-1325789.75,267549.4629263829
67.59999999999069,-1322965.5,267421.43104364583
67.99999999999118,-1319342.0,268916.9771818621
68.39999999999166,-1313678.5,267323.474276677
68.79999999999215,-1308031.375,264936.0002014907
69.19999999999264,-1303188.625,265756.7060544498
69.59999999999313,-1297637.25,263831.77980791905
69.99999999999362,-1293763.5,263851.6209727722
70.39999999999411,-1288915.5,263503.60344954394
70.7999999999946,-1284173.5,264168.1844053202
71.19999999999509,-1281743.5,264295.86295155226
71.59999999999557,-1280994.625,265454.91869585554
71.99999999999606,-1281088.125,265824.41615194385
72.39999999999655,-1282791.0,267705.3854626169
72.79999999999704,-1284178.25,267645.2277682599
73.19999999999753,-1289262.5,268727.9340373919
73.59999999999802,-1295495.25,271070.9416813872
73.99999999999851,-1301053.5,271666.0277590782
74.399999999999,-1307920.125,271598.66252761695
74.79999999999949,-1314339.0,271081.3835351622
75.19999999999997,-1320749.5,271722.424900086
75.60000000000046,-1323447.125,269968.8039860801
76.00000000000095,-1326748.0,268772.95317964826
76.40000000000144,-1328156.25,267971.76243041013
76.80000000000193,-1329150.0,268073.10984066885
77.20000000000242,-1327455.625,267404.8432847393
77.60000000000291,-1323611.875,266114.51212487393
78.0000000000034,-1321386.875,265908.2525197238
78.40000000000389,-1316574.875,265312.41433795035
78.80000000000437,-1313001.5,264887.13823923335
79.20000000000486,-1307660.5,264408.58095485216
79.60000000000535,-1301750.5,264766.10530603345
80.00000000000584,-1294378.625,263830.17250040325
