#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
0.4000000000000003,-1550148.0,88135.41350144177
0.8000000000000006,-1489796.0,143910.45617483355
1.2000000000000008,-1446401.0,180320.75302953424
1.6000000000000012,-1415227.25,204734.1892386181
2.0000000000000013,-1392430.0,220445.4013546534
2.4000000000000017,-1377002.625,231747.4333036334
2.800000000000002,-1367286.25,241738.8698023982
3.2000000000000024,-1365617.25,250526.86923760388
3.6000000000000028,-1366386.125,255245.04765275566
4.000000000000003,-1372235.125,260753.1520322371
4.399999999999959,-1378807.25,263459.77935438283
4.799999999999915,-1384164.375,266216.8505444388
5.1999999999998705,-1388593.75,267045.3415904694
5.5999999999998264,-1389386.125,265833.3581074762
5.999999999999782,-1390595.0,267126.01204544154
6.399999999999738,-1388842.0,267018.8041445313
6.799999999999694,-1384112.75,267082.5697320271
7.19999999999965,-1375953.25,266095.7292580928
7.599999999999606,-1367107.5,266010.7220703255
7.999999999999562,-1356598.75,265307.23988092854
8.399999999999519,-1344880.375,264545.2054648088
8.799999999999475,-1330626.25,263652.96746397146
9.19999999999943,-1319160.0,265073.9797457672
9.599999999999387,-1304536.25,263918.1040002611
9.999999999999343,-1292477.75,264091.47791518475
10.399999999999299,-1282759.0,264244.4535455642
10.799999999999255,-1273623.75,264401.22069119214
11.19999999999921,-1267046.0,266167.63385695475
11.599999999999167,-1265296.25,266929.737037493
11.999999999999122,-1266296.25,267708.92604285514
12.399999999999078,-1275497.25,273717.56045642163
12.799999999999034,-1285987.5,276307.84151365305
13.19999999999899,-1300662.5,278018.3429037133
13.599999999998946,-1315196.75,279157.1977499652
13.999999999998902,-1330629.25,280195.1285969454
14.399999999998858,-1345256.0,279132.3606097838
14.799999999998814,-1357088.125,277712.48944730335
15.19999999999877,-1365418.125,276163.32890423306
15.599999999998726,-1371367.5,275104.95424824784
15.999999999998682,-1372561.25,270889.07223766134
16.399999999998816,-1374119.25,270688.0127545829
16.79999999999895,-1372301.625,269835.7879125201
17.199999999999083,-1366775.0,269320.5352008169
17.599999999999216,-1359715.25,268330.75810735894
17.99999999999935,-1350779.0,267297.66027692624
18.399999999999483,-1339980.75,264993.09607376315
18.799999999999617,-1330562.5,265472.22077248606
19.19999999999975,-1319396.75,264327.98259955074
19.599999999999884,-1307076.0,263627.0730209312
20.000000000000018,-1295894.125,263968.957369708
20.40000000000015,-1286739.875,263877.42866633844
20.800000000000285,-1279752.25,265439.83787963097
21.20000000000042,-1274844.375,265483.30735124764
21.600000000000552,-1273232.625,267416.1735846767
22.000000000000686,-1273441.25,267812.1552149381
22.40000000000082,-1282007.75,271154.83963943244
22.800000000000953,-1295013.875,274577.7151889832
23.200000000001086,-1308576.0,275462.01340786286
23.60000000000122,-1326207.0,278132.6543061065
24.000000000001354,-1342976.5,278748.34610814234
24.400000000001487,-1356339.25,277476.6993153385
24.80000000000162,-1368592.0,276703.1938667324
25.200000000001754,-1376571.25,274989.19238960894
25.600000000001888,-1382985.0,275326.37990607193
26.00000000000202,-1385498.5,272232.032771247
26.400000000002155,-1383882.875,271622.6273916758
26.80000000000229,-1381412.375,270122.28406607936
27.200000000002422,-1375231.375,266817.12845660024
27.600000000002556,-1369080.875,268195.7621708495
28.00000000000269,-1357156.0,266935.48849682824
28.400000000002823,-1346575.5,265069.5759608745
28.800000000002957,-1335629.75,265205.2134824272
29.20000000000309,-1322203.75,262530.6311721421
29.600000000003224,-1308349.5,262770.12104880664
30.000000000003357,-1295168.5,262383.13987871935
30.40000000000349,-1285108.5,263734.93364063813
30.800000000003624,-1274551.75,262952.5071353454
31.200000000003758,-1269310.125,265459.062093136
31.60000000000389,-1268304.5,268099.929398008
32.00000000000402,-1270664.625,271499.7961671839
32.4000000000038,-1277508.0,272209.0192991316
32.80000000000358,-1287549.25,273532.5060230269
33.20000000000336,-1303176.5,277635.2659517421
33.600000000003135,-1319353.75,278312.85596997326
34.00000000000291,-1336938.5,279938.30793759855
34.40000000000269,-1350439.0,278187.0936187876
34.80000000000247,-1361376.75,277272.37488485116
35.20000000000225,-1371194.0,276739.7382164338
35.60000000000203,-1377615.375,274307.3747066854
36.000000000001805,-1379489.75,271077.2148078617
36.40000000000158,-1379387.625,271311.6244593519
36.80000000000136,-1376122.25,269906.43599884544
37.20000000000114,-1370549.75,267166.513075571
37.60000000000092,-1364107.75,267455.9472176917
38.000000000000696,-1355105.75,266589.7661271532
38.400000000000475,-1345016.5,265555.1952521006
38.80000000000025,-1332928.75,264422.6052795645
39.20000000000003,-1321658.25,264018.9604356401
39.59999999999981,-1310524.5,264340.1624088176
39.99999999999959,-1300027.0,265078.8775992339
