#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
120.40000000005521,-1470569.875,153012.99638441604
120.8000000000557,-1430693.75,187032.5507548703
121.20000000005619,-1401648.125,209671.1063380317
121.60000000005668,-1379030.0,224376.9030651973
122.00000000005717,-1363488.75,234617.63034581306
122.40000000005766,-1351029.25,242452.49183263618
122.80000000005815,-1345549.125,249010.04620111652
123.20000000005864,-1341944.5,252755.3488482486
123.60000000005913,-1343493.0,259259.31397741253
124.00000000005961,-1345776.75,262912.713052956
124.4000000000601,-1350301.5,265039.4353386309
124.80000000006059,-1355216.25,266899.3602160312
125.20000000006108,-1358225.5,267536.5753912503
125.60000000006157,-1360920.5,266910.9080751593
126.00000000006206,-1361923.875,267363.49153328844
126.40000000006255,-1359550.5,266567.34762198385
126.80000000006304,-1355501.875,266924.7299615892
127.20000000006353,-1352158.0,267264.4863074458
127.60000000006401,-1344582.625,265829.34455442976
128.0000000000645,-1337309.75,264958.4088098097
128.40000000006356,-1329784.625,264172.0041125845
128.80000000006262,-1319677.75,264112.4966774344
129.2000000000617,-1312004.0,265876.9987684889
129.60000000006076,-1301338.125,263279.4026689249
130.00000000005983,-1293275.75,264764.08769781207
130.4000000000589,-1284431.5,264910.3478715337
130.80000000005796,-1277419.875,265323.5943093221
131.20000000005703,-1273922.75,265546.0542808437
131.6000000000561,-1272980.25,267341.10777808283
132.00000000005517,-1272939.625,267181.58728424675
132.40000000005423,-1277383.5,269840.43454442936
132.8000000000533,-1285428.625,272752.6417628378
133.20000000005237,-1292607.0,272858.3440037996
133.60000000005144,-1304857.0,274650.0253355836
134.0000000000505,-1315738.5,274781.0459691848
134.40000000004957,-1327185.5,274823.7067768771
134.80000000004864,-1334365.75,273022.2183913782
135.2000000000477,-1342071.0,273137.2712739337
135.60000000004678,-1345986.875,271321.56156795635
136.00000000004584,-1348420.875,271526.81102337036
136.4000000000449,-1348187.875,269047.7392437029
136.80000000004398,-1349201.0,270054.3373992723
137.20000000004305,-1345693.375,268673.8609107981
137.60000000004212,-1341202.5,268004.7923410515
138.00000000004118,-1334177.75,265975.8977237544
138.40000000004025,-1326427.0,265464.0637935414
138.80000000003932,-1317894.375,264888.52288588055
139.2000000000384,-1310808.5,264167.1046003737
139.60000000003745,-1302228.5,262975.8740226079
140.00000000003652,-1296015.75,263813.0092096073
140.4000000000356,-1287664.375,263737.23939625203
140.80000000003466,-1281791.5,265368.27385988925
141.20000000003373,-1279021.25,266438.168662867
141.6000000000328,-1276939.75,266636.02910491935
142.00000000003186,-1279085.375,268931.68403188535
142.40000000003093,-1283861.5,271114.7651550678
142.80000000003,-1290127.875,271883.2092994101
143.20000000002906,-1299498.375,272661.3534076696
143.60000000002813,-1310870.5,274622.99868261383
144.0000000000272,-1320685.75,275639.1340640304
144.40000000002627,-1329600.75,273918.3230777274
144.80000000002534,-1339753.0,274411.84398086066
145.2000000000244,-1346055.0,273706.4208170643
145.60000000002347,-1351003.25,272329.7635880722
146.00000000002254,-1355546.25,270803.2432710424
146.4000000000216,-1356605.625,270897.8231625405
146.80000000002067,-1355379.25,268824.5046657951
147.20000000001974,-1351652.5,266776.01259921805
147.6000000000188,-1346356.375,266545.48140411056
148.00000000001788,-1338276.75,265831.1156685445
148.40000000001695,-1330963.75,264991.52028768975
148.800000000016,-1323020.25,265947.5799718471
149.20000000001508,-1313764.25,264248.077839316
149.60000000001415,-1303577.75,262611.9353209532
150.00000000001322,-1294875.375,263989.5853556829
150.40000000001228,-1285823.5,263386.3974022587
150.80000000001135,-1279925.25,264149.45189990173
151.20000000001042,-1275813.375,265642.6500106652
151.6000000000095,-1273433.25,266682.80746838206
152.00000000000855,-1275854.375,267801.94915943674
152.40000000000762,-1280196.25,269928.2463102945
152.8000000000067,-1286921.875,272089.49048945296
153.20000000000576,-1296421.5,274223.1292737721
153.60000000000483,-1306457.625,273847.7781213155
154.0000000000039,-1318342.25,275228.34724212415
154.40000000000296,-1330233.75,275401.3575858483
154.80000000000203,-1338149.125,275274.00362011767
155.2000000000011,-1346070.875,273556.81079448806
155.60000000000016,-1352273.75,272529.3073666461
155.99999999999923,-1354914.0,270485.5419827959
156.3999999999983,-1355656.0,269894.85767059977
156.79999999999737,-1351704.75,266820.0675353457
157.19999999999644,-1351146.75,268850.050536731
157.5999999999955,-1344007.75,266748.50567075424
157.99999999999457,-1338110.25,266928.87766074506
158.39999999999364,-1331198.25,267114.7748919963
158.7999999999927,-1322866.5,265494.3371280108
159.19999999999177,-1314242.0,263436.7518311456
159.59999999999084,-1307111.75,264648.49394605577
159.9999999999899,-1296722.625,264139.0440210877
