#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
160.39999999998898,-1472636.75,152477.35668302776
160.79999999998805,-1432095.0,186957.58996089868
161.1999999999871,-1400451.375,208524.3641257853
161.59999999998618,-1380728.5,223658.64848021965
161.99999999998525,-1364749.0,234310.5621715808
162.39999999998432,-1356068.75,242783.31289069046
162.79999999998338,-1349525.5,248065.5390279417
163.19999999998245,-1349465.0,254825.5711837939
163.59999999998152,-1352239.25,258588.98991007113
163.9999999999806,-1357311.75,263771.68268562376
164.39999999997966,-1363082.625,266201.46654971584
164.79999999997872,-1368729.5,268711.7562747821
165.1999999999778,-1371593.25,267681.1189334446
165.59999999997686,-1374118.75,269908.6865491079
165.99999999997593,-1373538.625,269178.56786387553
166.399999999975,-1370697.25,267699.05022995616
166.79999999997406,-1367544.0,267383.0101746242
167.19999999997313,-1362945.75,266895.56368542905
167.5999999999722,-1354728.75,263980.81886083505
167.99999999997127,-1347595.125,265498.7751726167
168.39999999997033,-1335574.375,264997.39174966223
168.7999999999694,-1326205.375,264488.5491872987
169.19999999996847,-1313518.25,264249.2808041688
169.59999999996754,-1304029.5,263501.6098446953
169.9999999999666,-1293138.0,263178.39980983874
170.39999999996567,-1284299.0,262313.6017093288
170.79999999996474,-1276744.5,264042.1163699735
171.1999999999638,-1271038.75,264345.84640293143
171.59999999996288,-1268707.125,266362.0266909047
171.99999999996194,-1271039.0,268664.6330452858
172.399999999961,-1275241.75,270491.14197903674
172.79999999996008,-1286688.75,273860.35748432763
173.19999999995915,-1296280.375,275117.05360532494
173.59999999995821,-1309289.25,276915.9983164513
173.99999999995728,-1321428.625,275157.0838331934
174.39999999995635,-1335050.0,276128.0923578918
174.79999999995542,-1347198.25,276213.70497716777
175.19999999995449,-1353208.75,274137.45074728655
175.59999999995355,-1357786.75,271708.29473729094
175.99999999995262,-1359620.25,270929.3462338065
176.3999999999517,-1359990.75,271321.0791978284
176.79999999995076,-1358799.875,270378.0670384038
177.19999999994982,-1353298.125,268464.4947359238
177.5999999999489,-1348727.5,268433.9201634595
177.99999999994796,-1342004.125,266700.43936495885
178.39999999994703,-1332396.875,266245.972555036
178.7999999999461,-1322771.75,265160.8562251799
179.19999999994516,-1313260.0,264672.7555650802
179.59999999994423,-1304005.5,262769.2507098256
179.9999999999433,-1294808.0,263352.7885495898
180.39999999994237,-1287874.75,264719.9333981176
180.79999999994143,-1280178.25,263890.4855179717
181.1999999999405,-1273986.25,263048.4783515505
181.59999999993957,-1274467.25,266024.1855952919
181.99999999993864,-1275360.375,267394.9272265564
182.3999999999377,-1282770.0,270914.2186699111
182.79999999993677,-1289722.875,272569.79107349407
183.19999999993584,-1302565.875,274601.2178703532
183.5999999999349,-1315582.75,276022.1112003809
183.99999999993398,-1329118.25,277049.3576387126
184.39999999993304,-1340820.125,276193.11230529024
184.7999999999321,-1352970.5,276679.0035898727
185.19999999993118,-1360600.0,274383.6070998388
185.59999999993025,-1366194.125,273460.07622043515
185.99999999992932,-1366974.0,271598.29715799453
186.39999999992838,-1368726.375,269561.9993866501
186.79999999992745,-1367717.0,269263.0119427872
187.19999999992652,-1364014.75,267434.7775434776
187.5999999999256,-1357208.0,266186.66220248
187.99999999992465,-1349626.25,264797.5492047634
188.39999999992372,-1339325.75,264983.9253627135
188.7999999999228,-1328696.25,264305.9482160654
189.19999999992186,-1317240.0,263595.64067058475
189.59999999992093,-1307293.5,263005.12026480143
189.99999999992,-1295455.375,263231.08027067943
190.39999999991906,-1286277.875,263360.12889386126
190.79999999991813,-1277539.5,264629.0104293815
191.1999999999172,-1272646.75,266058.58483325155
191.59999999991626,-1270210.25,267051.7034670613
191.99999999991533,-1273011.0,269039.68306459935
192.3999999999144,-1277079.625,270636.58291017707
192.79999999991347,-1287031.0,272941.41102325387
193.19999999991254,-1298114.375,276330.36762183666
193.5999999999116,-1311918.5,278400.7638586073
193.99999999991067,-1323847.0,278440.8446386915
194.39999999990974,-1334916.75,276658.7190747929
194.7999999999088,-1346608.0,276079.63359543413
195.19999999990787,-1355141.75,274676.2364185952
195.59999999990694,-1359950.75,274255.58519053494
195.999999999906,-1362774.25,272215.6221013224
196.39999999990508,-1364596.75,271093.1775989412
196.79999999990414,-1361801.25,269838.892322469
197.1999999999032,-1358385.75,267351.49943406053
197.59999999990228,-1353195.75,268060.0747713781
197.99999999990135,-1344557.0,266747.4863887052
198.39999999990042,-1335782.25,266040.5068654393
198.79999999989948,-1325700.0,266151.6314337556
199.19999999989855,-1315474.5,262950.45837673306
199.59999999989762,-1305269.375,262362.588399853
199.9999999998967,-1296759.5,263532.4283410775
